user_id,inf,weibo_num,focus_num,fans_num
电影工厂,??男/北京    ??    ,102144,730,29555263
中国经营报,??男/北京    ??    ,147700,1318,28892451
在人间_Living,??女/香港    ??    ,3831,759,426517
时间视频,??男/北京    ??    ,40527,567,8066025
nG家的猫,??男/其他    ??    ,604,80,5527601
深圳卫健委,??女/广东    ??    ,21228,438,944381
中国消防,??男/北京    ??    ,49681,1201,8808795
药明康德,??男/上海    ??    ,4990,130,74376
搜狐新闻,??男/北京    ??    ,20013,283,1369736
TIANSHIHannnn,??女/辽宁    ??    ,185,631,14748
武汉大学,??女/湖北    ??    ,29032,717,2912050
粉熊的微博,??女/上海    ??    ,90736,740,1562882
微丢,??男/上海    ??    ,9786,94,3746158
主妇手记,??女/北京    ??    ,5966,3262,3539502
善良小魔女-YZ,??女/山东    ??    ,8568,1480,131523
赞物发起人闫苹果,??女/吉林    ??    ,8075,102,984143
天才捕手计划,??男/北京    ??    ,379,258,181712
白衣山猫,??男/浙江    ??    ,7138,146,4479122
掌上兰州-任我行,??男/甘肃    ??    ,34349,352,165514
坂本龙一_RyuichiSakamoto,??男/海外    ??    ,88,1,484650
张爱玲,??女/海外    ??    ,2363,140,174481
澎湃视频,??男/上海    ??    ,71953,463,6753387
北京人不知道的北京事儿,??男/北京    ??    ,32906,1619,7076181
七色的偽物人形,??男/其他    ??    ,103702,2544,140129
俄语俄罗斯,??女/海外    ??    ,7612,250,251514
俄罗斯事儿君,??男/海外    ??    ,26699,3181,8705357
YouTube精选,??男/海外    ??    ,30497,1934,21441438
王冰汝,??女/海外    ??    ,5213,497,2448404
金刀王,??男/其他    ??    ,41049,694,1114879
凤凰王又又,??女/海外    ??    ,7265,370,1540036
陈秋欤,??男/其他    ??    ,1343,191,12345598
PITD亚洲虐待博士组织,??女/北京    ??    ,27733,374,1435698
昆明校园,??女/云南    ??    ,24251,718,466105
新京报动新闻,??女/北京    ??    ,20386,289,6384767
微博日本,??女/海外    ??    ,9592,346,872137
中国之声,??男/北京    ??    ,130697,1330,27591434
脱欧入亚卡菊轮,??男/海外    ??    ,57768,3353,681615
王者君啊,??男/北京    ??    ,12222,2219,169355
安阳身边儿事,??男/河南    ??    ,35253,2968,363509
娱乐评论号,??男/湖南    ??    ,5785,1783,258485
七环视频,??男/上海    ??    ,32798,240,3140336
SEVENTEEN_Harbour站,??男/海外    ??    ,22425,146,220879
紫光阁,??男/北京    ??    ,25956,401,12093396
新浪科技,??女/北京    ??    ,142535,2230,24370372
虎扑的步行街,??男/浙江    ??    ,72626,2486,7168106
中南大学湘雅医院,??男/湖南    ??    ,3498,1099,648246
汉中发布,??女/陕西    ??    ,14253,392,52759
联合国,??男/海外    ??    ,58804,97,10380162
微观大秦,??男/陕西    ??    ,35486,2475,3264374
新浪视频,??男/北京    ??    ,107251,1865,15773864
罗昌平,??男/北京    ??    ,23459,1844,2237354
世面,??男/北京    ??    ,20712,70,5371723
休城社会闲散人士,??女/海外    ??    ,11065,800,94953
震长,??男/北京    ??    ,19051,630,2176983
陕视新闻,??男/陕西    ??    ,118484,1258,4161999
胥荣东主任医师,??男/北京    ??    ,119851,4490,2132890
猛犸新闻,??女/河南    ??    ,81416,1212,8287633
微博辟谣,??男/北京    ??    ,10345,725,2341736
武汉辣点事,??女/湖北    ??    ,5817,183,194486
吐槽小天才,??男/北京    ??    ,6702,884,11525941
BOBOG-Dragon,??男/海外    ??    ,23516,8,1220041
贼叉,??男/浙江    ??    ,12235,701,2763217
七百里加急递煎饼,??男/上海    ??    ,16704,1636,1499204
天猫发言人,??女/浙江    ??    ,3778,100,3368047
PrinceKris小王子_吴亦凡,??男/广东    ??    ,900,10,354174
央视网,??男/北京    ??    ,114459,513,12339375
美国驻华大使馆,??男/北京    ??    ,28272,528,2973018
能量中国官方,??男/北京    ??    ,3197,2027,3496154
YouTube精彩视频,??男/海外    ??    ,24382,536,15107888
追星少女甜甜圈,??女/其他    ??    ,11059,913,3439759
王俊凯姐姐站,??男/海外    ??    ,2469,29,588949
互联网见闻录,??男/江苏    ??    ,12606,2262,579394
当时我就震惊了,??男/四川    ??    ,88864,858,30581687
新金融观察报,??男/天津    ??    ,37475,1487,187307
混乱博物馆,??男/北京    ??    ,1084,107,2178504
武汉晨报,??男/湖北    ??    ,44141,829,878230
深圳热门大事件,??女/广东    ??    ,11821,107,11652586
SEVENTEEN_ZER·0站,??男/海外    ??    ,15148,97,183826
鬼才董少,??男/北京    ??    ,3677,395,368269
新浪陕西,??男/陕西    ??    ,77546,3385,2180885
卫平布莱恩特-,??女/海外    ??    ,29761,824,2798009
腾讯视频,??男/广东    ??    ,99766,3225,14554320
打鱼晒网,??男/河南    ??    ,13391,916,1147161
娱乐日爆社,??男/北京    ??    ,84894,1172,6619717
共青团福建省委,??男/福建    ??    ,34002,1962,960847
·莫若寒蝉·,??女/广东    ??    ,9179,1615,12315
母婴亲子育儿,??女/福建    ??    ,7985,285,3315051
第一现场,??男/广东    ??    ,34573,264,764136
胡锡进,??男/北京    ??    ,9094,276,24092213
美国驻沪总领事馆,??女/上海    ??    ,15341,193,95256
紧急呼叫,??男/北京    ??    ,10606,185,2037613
上海宝山发布,??男/上海    ??    ,91760,1206,790515
政委灿荣,??男/北京    ??    ,1418,126,2057532
echo小茵茵,??女/广东    ??    ,2613,1452,1767765
洪灝,??男/其他    ??    ,5331,200,986301
红星竹雨,??男/广东    ??    ,26636,633,443021
共青团中央,??男/北京    ??    ,44703,1494,15592560
谭飞,??男/北京    ??    ,15798,1477,2533520
青春娱乐网,??男/北京    ??    ,24578,198,11293487
JohnRoss431,??男/海外    ??    ,27038,1118,1110854
娱乐圈小鬼,??男/海外    ??    ,2703,429,9650583
CGTN记者团,??男/其他    ??    ,5707,191,2887441
昆明铁路,??男/云南    ??    ,44613,1198,1404259
我是科学家iScientist,??男/北京    ??    ,4339,369,1065312
新浪看点,??女/北京    ??    ,37341,1637,3611653
闽南师大团委,??男/福建    ??    ,8351,419,107521
海峡卫视,??女/福建    ??    ,69722,1545,788323
红袖添饭ing,??男/海外    ??    ,20254,243,3315316
UnityStar星统环球,??男/北京    ??    ,684,79,7207
烟雾与镜像,??男/陕西    ??    ,4905,1081,1320175
蓝莓医生,??男/其他    ??    ,19242,1111,2088429
云南共青团,??男/云南    ??    ,57076,3262,939768
中国文明网,??女/北京    ??    ,13921,1108,1008373
罗法老,??男/北京    ??    ,2746,173,21732
新浪广东,??男/广东    ??    ,82919,4640,2081066
新加坡眼,??男/海外    ??    ,41173,2133,682394
寰亚SYHP,??男/其他    ??    ,35094,22,1421755
枫子一大叔,??男/福建    ??    ,1058,1055,3304536
新周刊,??男/广东    ??    ,35321,703,20646222
Dr_任,??男/山东    ??    ,35941,3299,2105270
中新视频,??男/北京    ??    ,32940,239,4413301
浙江发布,??男/浙江    ??    ,40730,478,2382523
小熊mishka,??女/其他    ??    ,17073,104,41979
北京日报,??男/北京    ??    ,88494,1361,9154591
致爱情,??男/其他    ??    ,7132,473,8471514
ChowzX1??女/湖北    ??    , ,532,665,159
Last--soldier,??男/内蒙古    ??    ,12851,1092,1132508
BToxin,??女/海外    ??    ,932,182,332016
龙城热,??男/山西    ??    ,1974,584,171625
凤凰网视频,??女/北京    ??    ,71064,3021,13556160
芋头微波,??男/广东    ??    ,35824,1116,1140480
日本流行全方位,??女/海外    ??    ,33769,60,2631902
光明日报,??男/北京    ??    ,70933,691,22936096
合肥消防,??女/安徽    ??    ,30213,710,284757
IT科技与互联网,??女/北京    ??    ,11776,292,1120619
新闻晨报,??男/上海    ??    ,154768,1062,37668849
妇科小医生,??男/四川    ??    ,7691,1536,3263567
医视频,??女/北京    ??    ,16615,2311,1411117
上海发布,??男/上海    ??    ,80499,1668,9466710
李杰灵,??男/广东    ??    ,28463,3090,2667633
AMNH680??男/北京    ??    ,欧川,12160,614,105623
IT智能科技生活,??女/北京    ??    ,15551,287,7967863
英语口语控,??男/海外    ??    ,39848,22,3806837
4AM战队,??男/上海    ??    ,6627,205,895039
青年报,??男/上海    ??    ,77120,662,1023043
珠海吃喝玩乐旅游,??女/广东    ??    ,3129,143,3697759
勿怪幸,??男/海外    ??    ,14100,523,1355525
烧心乐队-大黄,??男/湖北    ??    ,163,383,508399
治安君,??男/安徽    ??    ,24159,2543,346638
师永刚,??男/北京    ??    ,10975,2721,429031
刘若晴,??男/北京    ??    ,5531,1144,641505
武汉教育,??男/湖北    ??    ,26758,405,92639
